,Temperature,ReactionCoordinate,Repeat,SampleSteps,ThermSteps,ThermWindow,MinEnergy,preTemperature,FreeEnergyGradient,FreeEnergyGradientVariance,avePsi,dXTangent,postTemperature,MaxJump,Valid
50,0.0,0.6000000000000001,1,1,1,1,-2828.119987698242,4.431510003941812e-07,-0.31578829617965737,0.0,0.15781246990307524,0.15781246990307524,1.3253879240420203e-06,0.001723932285474399,True
51,0.0,0.6000000000000001,1,1,1,1,-2828.119987698242,4.431510003941812e-07,-0.31578829617965737,0.0,0.15781246990307524,0.15781246990307524,1.3253879240420203e-06,0.001723932285474399,True
52,0.0,0.6000000000000001,2,1,1,1,-2828.119987698242,3.2088169857350146e-07,-0.31578850098149874,-1.3877787807814457e-17,0.1578125722510242,0.1578125722510242,1.2373937122486049e-06,0.001723917783504352,True
53,0.0,0.6000000000000001,2,1,1,1,-2828.119987698242,3.2088169857350146e-07,-0.31578850098149874,-1.3877787807814457e-17,0.1578125722510242,0.1578125722510242,1.2373937122486049e-06,0.001723917783504352,True
54,0.0,0.6000000000000001,2,1,1,1,-2828.119987698242,3.2088169857350146e-07,-0.31578850098149874,-1.3877787807814457e-17,0.1578125722510242,0.1578125722510242,1.2373937122486049e-06,0.001723917783504352,True
55,0.0,0.6000000000000001,2,1,1,1,-2828.119987698242,3.2088169857350146e-07,-0.31578850098149874,-1.3877787807814457e-17,0.1578125722510242,0.1578125722510242,1.2373937122486049e-06,0.001723917783504352,True
56,0.0,0.7000000000000001,1,1,1,1,-2828.1726414495943,1.4041972489601699e-06,-0.7201821658004077,-1.1102230246251565e-16,0.3539944939006305,0.3539944939006305,5.447602028923385e-06,0.00467435598673376,True
57,0.0,0.7000000000000001,1,1,1,1,-2828.1726414495943,1.4041972489601699e-06,-0.7201821658004077,-1.1102230246251565e-16,0.3539944939006305,0.3539944939006305,5.447602028923385e-06,0.00467435598673376,True
58,0.0,0.7000000000000001,1,1,1,1,-2828.1726414495943,1.4041972489601699e-06,-0.7201821658004077,-1.1102230246251565e-16,0.3539944939006305,0.3539944939006305,5.447602028923385e-06,0.00467435598673376,True
59,0.0,0.7000000000000001,1,1,1,1,-2828.1726414495943,1.4041972489601699e-06,-0.7201821658004077,-1.1102230246251565e-16,0.3539944939006305,0.3539944939006305,5.447602028923385e-06,0.00467435598673376,True
