,Temperature,ReactionCoordinate,SampleSteps,ThermSteps,ThermWindow,MinEnergy,preTemperature,FreeEnergyGradient,FreeEnergyGradientVariance,avePsi,dXTangent,PathEnergy,postTemperature,MaxJump,Valid,Repeat
35,0.0,0.5,1,1,1,-481.6025819057525,1.8642831627957668e-28,28.378410605515803,0.0,1.0,1.3483589759658586e-18,-481.60064944286603,4.07844843794851e-28,8.388426765554651e-19,True,1
36,0.0,0.5,1,1,1,-481.6025819057525,1.8642831627957668e-28,28.378410605515803,0.0,1.0,1.3483589759658586e-18,-481.60064944286603,4.07844843794851e-28,8.388426765554651e-19,True,1
37,0.0,0.5,1,1,1,-481.6025819057525,1.8642831627957668e-28,28.378410605515803,0.0,1.0,1.3483589759658586e-18,-481.60064944286603,4.07844843794851e-28,8.388426765554651e-19,True,1
38,0.0,0.5,1,1,1,-481.6025819057525,1.8642831627957668e-28,28.378410605515803,0.0,1.0,1.3483589759658586e-18,-481.60064944286603,4.07844843794851e-28,8.388426765554651e-19,True,1
39,0.0,0.5,1,1,1,-481.6025819057525,1.8642831627957668e-28,28.378410605515803,0.0,1.0,1.3483589759658586e-18,-481.60064944286603,4.07844843794851e-28,8.388426765554651e-19,True,1
40,0.0,0.625,1,1,1,-476.84144818143454,4.1070432373138945e-28,48.22456647221854,0.0,1.0,7.980513986000843e-19,-476.8476085962866,9.124994109390458e-28,0.0,True,1
41,0.0,0.625,1,1,1,-476.84144818143454,4.1070432373138945e-28,48.22456647221854,0.0,1.0,7.980513986000843e-19,-476.8476085962866,9.124994109390458e-28,0.0,True,1
42,0.0,0.625,1,1,1,-476.84144818143454,4.1070432373138945e-28,48.22456647221854,0.0,1.0,7.980513986000843e-19,-476.8476085962866,9.124994109390458e-28,0.0,True,1
43,0.0,0.625,1,1,1,-476.84144818143454,4.1070432373138945e-28,48.22456647221854,0.0,1.0,7.980513986000843e-19,-476.8476085962866,9.124994109390458e-28,0.0,True,1
44,0.0,0.625,1,1,1,-476.84144818143454,4.1070432373138945e-28,48.22456647221854,0.0,1.0,7.980513986000843e-19,-476.8476085962866,9.124994109390458e-28,0.0,True,1
