,Temperature,ReactionCoordinate,SampleSteps,ThermSteps,ThermWindow,MinEnergy,preTemperature,FreeEnergyGradient,FreeEnergyGradientVariance,avePsi,dXTangent,PathEnergy,postTemperature,MaxJump,Valid,Repeat
131,30.0,0.875,2000,1000,100,-482.5496252254374,28.468557499636248,7.879032103465083,1.348570149525257e-27,0.9999999999997563,1.3325969903310243e-14,-482.6701909486136,29.505684931060298,0.547305515228051,False,1
132,30.0,0.875,2000,1000,100,-482.5496252254374,27.28879949157772,7.896563153052503,1.5303166069010594e-27,0.9999999999997498,2.2625897476418077e-14,-482.6701909486136,30.14230935279055,0.5473072765762301,False,1
133,30.0,0.875,2000,1000,100,-482.5496252254374,29.85886125203293,7.890389187415737,1.3946479126535405e-27,0.999999999999751,9.412108526153459e-15,-482.6701909486136,30.242382440517265,0.5473074216981304,False,1
134,30.0,0.875,2000,1000,100,-482.5496252254374,31.465119652373005,7.87585067737759,1.3255545566375064e-27,0.999999999999754,5.3006630934088445e-15,-482.6701909486136,28.769364887200037,0.5473044200875978,False,1
135,30.0,0.875,2000,1000,100,-482.5496252254374,29.65427050880167,7.875638944778326,1.199636522109249e-27,0.9999999999997469,1.0860348952279364e-14,-482.6701909486136,29.31025065256212,0.5473061505396202,False,1
136,30.0,1.0,2000,1000,100,-480.6641897641251,30.590868001387808,11.015186159817363,8.913588283475963e-27,1.000000000000524,3.923142818744098e-15,-481.5318601361358,30.290002001804307,0.6659699125468109,False,1
137,30.0,1.0,2000,1000,100,-480.6641897641251,25.821007449095625,11.012818845498849,7.95316180280007e-27,1.0000000000004976,1.3112030327882615e-14,-481.5318601361358,30.202450450401436,0.6659703760601913,False,1
138,30.0,1.0,2000,1000,100,-480.6641897641251,32.65389657387505,11.003917239597065,4.970554942712433e-27,1.0000000000005143,6.350736041417377e-15,-481.5318601361358,29.791159431648598,0.6659716360767688,False,1
139,30.0,1.0,2000,1000,100,-480.6641897641251,30.313284069065144,11.019557106695178,7.904382858130065e-27,1.000000000000528,2.5506421612146193e-14,-481.5318601361358,29.71228432985618,0.6659707286756475,False,1
140,30.0,1.0,2000,1000,100,-480.6641897641251,29.6999691672369,11.02208514404765,6.197094325709229e-27,1.0000000000005083,5.296756150284529e-15,-481.5318601361358,29.541679404500904,0.665968372101808,False,1
